                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.68713,                0.55912,                0.84319,                0.87176,                0.88501,                0.89997,                0.54272,                 0.6746,                0.55215,                0.83689,               0.006964,               0.006964,               0.006964
                     48,                0.67616,                0.55412,                0.84093,                0.88776,                0.87199,                0.91358,                0.55207,                0.69599,                0.54524,                0.83566,               0.006898,               0.006898,               0.006898
                     49,                0.70204,                0.55552,                 0.8462,                0.91671,                 0.8544,                0.91003,                0.57062,                0.66793,                0.54505,                0.83269,               0.006832,               0.006832,               0.006832
                     50,                0.69779,                0.54996,                0.84088,                0.90451,                0.83533,                0.90174,                 0.5589,                0.68017,                0.55118,                0.83413,               0.006766,               0.006766,               0.006766
                     51,                0.70348,                0.54777,                0.84166,                0.88449,                 0.8981,                0.90228,                0.55507,                0.70843,                0.54302,                0.83477,                 0.0067,                 0.0067,                 0.0067
                     52,                0.70385,                0.54975,                0.84048,                0.93478,                0.86974,                0.90964,                 0.5422,                0.70163,                0.55421,                 0.8346,               0.006634,               0.006634,               0.006634
                     53,                0.70131,                0.54404,                 0.8396,                0.90994,                0.87186,                0.90788,                0.58919,                0.69481,                0.54117,                0.83454,               0.006568,               0.006568,               0.006568
                     54,                0.70196,                0.54702,                0.84067,                 0.9093,                0.85649,                0.91937,                0.57226,                0.71084,                0.54238,                0.83794,               0.006502,               0.006502,               0.006502
                     55,                 0.7197,                 0.5483,                0.84178,                0.90866,                 0.8675,                0.91249,                0.56387,                0.71415,                0.53821,                0.83548,               0.006436,               0.006436,               0.006436
                     56,                0.71556,                0.54016,                0.84064,                0.90947,                0.87828,                0.91865,                 0.5561,                0.71431,                0.54037,                0.83684,                0.00637,                0.00637,                0.00637
                     57,                0.72091,                0.54571,                 0.8411,                0.92387,                0.88576,                0.92223,                0.56737,                0.71198,                0.53175,                0.83277,               0.006304,               0.006304,               0.006304
